15/06/28 23:21:55 INFO input.FileInputFormat: Total input paths to process : 43008
15/06/28 23:22:41 INFO mapreduce.JobSubmitter: number of splits:43008
15/06/28 23:22:41 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1434651818028_24369
15/06/28 23:22:42 INFO impl.YarnClientImpl: Submitted application application_1434651818028_24369
15/06/28 23:22:42 INFO mapreduce.Job: The url to track the job: http://analytics1001.eqiad.wmnet:8088/proxy/application_1434651818028_24369/
15/06/29 03:22:31 INFO mapreduce.Job:  map 59% reduce 8%
15/06/29 03:27:27 INFO mapreduce.Job:  map 60% reduce 8%
15/06/29 03:33:29 INFO mapreduce.Job:  map 61% reduce 8%
15/06/29 03:38:33 INFO mapreduce.Job:  map 62% reduce 8%
15/06/29 03:38:51 INFO mapreduce.Job:  map 62% reduce 9%
15/06/29 03:40:41 INFO mapreduce.Job:  map 62% reduce 10%
15/06/29 03:41:46 INFO mapreduce.Job:  map 63% reduce 10%
15/06/29 03:42:00 INFO mapreduce.Job:  map 63% reduce 11%
15/06/29 03:43:10 INFO mapreduce.Job:  map 63% reduce 12%
15/06/29 03:44:21 INFO mapreduce.Job:  map 63% reduce 13%
15/06/29 03:44:26 INFO mapreduce.Job:  map 64% reduce 13%
15/06/29 03:45:25 INFO mapreduce.Job:  map 64% reduce 14%
15/06/29 03:46:28 INFO mapreduce.Job:  map 64% reduce 15%
15/06/29 03:47:34 INFO mapreduce.Job:  map 64% reduce 16%
15/06/29 03:47:53 INFO mapreduce.Job:  map 64% reduce 13%
15/06/29 03:47:54 INFO mapreduce.Job:  map 64% reduce 6%
15/06/29 03:47:55 INFO mapreduce.Job:  map 64% reduce 1%
15/06/29 03:48:30 INFO mapreduce.Job:  map 64% reduce 2%
15/06/29 03:49:14 INFO mapreduce.Job:  map 65% reduce 2%
15/06/29 03:50:09 INFO mapreduce.Job:  map 65% reduce 3%
15/06/29 03:51:26 INFO mapreduce.Job:  map 65% reduce 4%
15/06/29 03:52:18 INFO mapreduce.Job:  map 66% reduce 4%
15/06/29 03:52:38 INFO mapreduce.Job:  map 66% reduce 5%
15/06/29 03:53:50 INFO mapreduce.Job:  map 66% reduce 6%
15/06/29 03:54:58 INFO mapreduce.Job:  map 67% reduce 7%
15/06/29 03:56:03 INFO mapreduce.Job:  map 67% reduce 8%
15/06/29 03:57:04 INFO mapreduce.Job:  map 67% reduce 9%
15/06/29 03:57:21 INFO mapreduce.Job:  map 68% reduce 9%
15/06/29 03:58:06 INFO mapreduce.Job:  map 68% reduce 10%
15/06/29 03:59:08 INFO mapreduce.Job:  map 68% reduce 11%
15/06/29 03:59:40 INFO mapreduce.Job:  map 69% reduce 11%
15/06/29 04:00:07 INFO mapreduce.Job:  map 69% reduce 12%
15/06/29 04:01:07 INFO mapreduce.Job:  map 69% reduce 13%
15/06/29 04:02:12 INFO mapreduce.Job:  map 69% reduce 14%
15/06/29 04:02:36 INFO mapreduce.Job:  map 70% reduce 14%
15/06/29 04:03:19 INFO mapreduce.Job:  map 70% reduce 15%
