15/06/26 05:01:38 INFO input.FileInputFormat: Total input paths to process : 47616
15/06/26 05:02:18 INFO mapreduce.JobSubmitter: number of splits:47616
15/06/26 05:02:19 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1434651818028_14061
15/06/26 05:02:19 INFO impl.YarnClientImpl: Submitted application application_1434651818028_14061
15/06/26 05:02:19 INFO mapreduce.Job: The url to track the job: http://analytics1001.eqiad.wmnet:8088/proxy/application_1434651818028_14061/
15/06/26 05:02:19 INFO mapreduce.Job: Running job: job_1434651818028_14061
15/06/26 05:02:28 INFO mapreduce.Job: Job job_1434651818028_14061 running in uber mode : false
15/06/26 10:52:36 INFO mapreduce.Job:  map 100% reduce 68%
15/06/26 10:53:38 INFO mapreduce.Job:  map 100% reduce 69%
15/06/26 10:54:07 INFO mapreduce.Job:  map 100% reduce 70%
15/06/26 10:54:35 INFO mapreduce.Job:  map 100% reduce 71%
15/06/26 10:55:04 INFO mapreduce.Job:  map 100% reduce 72%
15/06/26 10:56:04 INFO mapreduce.Job:  map 100% reduce 73%
15/06/26 10:57:34 INFO mapreduce.Job:  map 100% reduce 74%
15/06/26 10:59:14 INFO mapreduce.Job:  map 100% reduce 75%
15/06/26 11:01:09 INFO mapreduce.Job:  map 100% reduce 76%
15/06/26 11:02:53 INFO mapreduce.Job:  map 100% reduce 77%
15/06/26 11:04:37 INFO mapreduce.Job:  map 100% reduce 78%
15/06/26 11:06:27 INFO mapreduce.Job:  map 100% reduce 79%
15/06/26 11:08:21 INFO mapreduce.Job:  map 100% reduce 80%
15/06/26 11:10:16 INFO mapreduce.Job:  map 100% reduce 81%
15/06/26 11:12:12 INFO mapreduce.Job:  map 100% reduce 82%
15/06/26 11:14:02 INFO mapreduce.Job:  map 100% reduce 83%
15/06/26 11:15:49 INFO mapreduce.Job:  map 100% reduce 84%
15/06/26 11:17:37 INFO mapreduce.Job:  map 100% reduce 85%
15/06/26 11:19:29 INFO mapreduce.Job:  map 100% reduce 86%
15/06/26 11:21:30 INFO mapreduce.Job:  map 100% reduce 87%
15/06/26 11:23:18 INFO mapreduce.Job:  map 100% reduce 88%
15/06/26 11:25:17 INFO mapreduce.Job:  map 100% reduce 89%
15/06/26 11:27:21 INFO mapreduce.Job:  map 100% reduce 90%
15/06/26 11:29:34 INFO mapreduce.Job:  map 100% reduce 91%
15/06/26 11:31:57 INFO mapreduce.Job:  map 100% reduce 92%
15/06/26 11:34:22 INFO mapreduce.Job:  map 100% reduce 93%
15/06/26 11:37:06 INFO mapreduce.Job:  map 100% reduce 94%
15/06/26 11:40:11 INFO mapreduce.Job:  map 100% reduce 95%
15/06/26 11:41:15 INFO mapreduce.Job: Task Id : attempt_1434651818028_14061_r_000062_3, Status : FAILED
Error: Java heap space
15/06/26 11:41:16 INFO mapreduce.Job:  map 100% reduce 94%
15/06/26 11:42:28 INFO mapreduce.Job:  map 100% reduce 95%
15/06/26 11:45:54 INFO mapreduce.Job:  map 100% reduce 96%
15/06/26 11:49:56 INFO mapreduce.Job:  map 100% reduce 97%
15/06/26 11:54:11 INFO mapreduce.Job:  map 100% reduce 98%
15/06/26 12:04:10 INFO mapreduce.Job:  map 100% reduce 99%
15/06/26 12:24:57 INFO mapreduce.Job: Task Id : attempt_1434651818028_14061_r_000062_4, Status : FAILED
Error: Java heap space
15/06/26 12:39:48 INFO mapreduce.Job:  map 100% reduce 100%
15/06/26 13:22:09 INFO mapreduce.Job: Task Id : attempt_1434651818028_14061_r_000062_5, Status : FAILED
Error: Java heap space
15/06/26 13:22:10 INFO mapreduce.Job:  map 100% reduce 99%
15/06/26 13:31:26 INFO mapreduce.Job:  map 100% reduce 100%
15/06/26 14:15:21 INFO mapreduce.Job: Job job_1434651818028_14061 failed with state FAILED due to: Task failed task_1434651818028_14061_r_000062
Job failed as tasks failed. failedMaps:0 failedReduces:1

15/06/26 14:15:21 INFO mapreduce.Job: Counters: 69
	File System Counters
		FILE: Number of bytes read=940537207229
		FILE: Number of bytes written=1890199067544
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=5926684919815
		HDFS: Number of bytes written=390555037193
		HDFS: Number of read operations=242337
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=4059
	Job Counters 
		Failed reduce tasks=4
		Killed map tasks=1
		Killed reduce tasks=400
		Launched map tasks=47617
		Launched reduce tasks=503
		Other local map tasks=45
		Data-local map tasks=46358
		Rack-local map tasks=1214
		Total time spent by all maps in occupied slots (ms)=0
		Total time spent by all reduces in occupied slots (ms)=0
		Total time spent by all map tasks (ms)=1905237807
		Total time spent by all reduce tasks (ms)=1228857669
		Total vcore-seconds taken by all map tasks=1905237807
		Total vcore-seconds taken by all reduce tasks=1228857669
		Total megabyte-seconds taken by all map tasks=3901927028736
		Total megabyte-seconds taken by all reduce tasks=5033401012224
	Map-Reduce Framework
		Map input records=67346176427
		Map output records=1601162584
		Map output bytes=936244031844
		Map output materialized bytes=943746645276
		Input split bytes=7537802
		Combine input records=0
		Combine output records=0
		Reduce input groups=337599282
		Reduce shuffle bytes=933094161428
		Reduce input records=1582702685
		Reduce output records=0
		Spilled Records=3196840712
		Shuffled Maps =4713984
		Failed Shuffles=0
		Merged Map outputs=4713984
		GC time elapsed (ms)=335538850
		CPU time spent (ms)=3731454860
		Physical memory (bytes) snapshot=73351526023168
		Virtual memory (bytes) snapshot=117894055600128
		Total committed heap usage (bytes)=66407137017856
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
